trial,hole,model_y
103,1,0.08516824919909917
103,2,0.2305740968193744
106,0,0.07372175391515484
106,1,0.45381985699203536
106,2,0.4724583890928097
107,0,0.5535046873231116
107,1,0.21981007428642402
107,2,0.2266852383904643
109,0,0.14253771611066582
109,1,0.2931877531935156
109,2,0.5642745306958186
111,0,0.9064897790529098
111,1,0.047582188014920444
111,2,0.04592803293216973
112,0,0.04251763980185738
112,1,0.4265963446153784
112,2,0.5308860155827643
113,0,0.3102288711949923
113,1,0.23047139018809792
113,2,0.45929973861690976
114,0,0.4863343941436408
114,1,0.48537091797036647
114,2,0.02829468788599281
115,0,0.050970545915487324
115,1,0.10568014732614997
115,2,0.8433493067583627
118,0,0.3905363217165629
118,1,0.24963146435820538
118,2,0.3598322139252317
121,0,0.4738334657327445
121,1,0.4714319551532311
121,2,0.05473457911402431
122,0,0.4563140984791341
122,1,0.03491040251640329
122,2,0.5087754990044625
123,0,0.403892691490936
123,1,0.19957658442032378
123,2,0.3965307240887403
126,0,0.07338117804459854
126,1,0.07751268740937661
126,2,0.8491061345460248
127,0,0.5132187365617097
127,1,0.049284266411028566
127,2,0.43749699702726164
129,0,0.7792467144506533
129,1,0.05680289764081555
129,2,0.16395038790853117
132,0,0.36196931825535045
132,1,0.4099511079205595
132,2,0.22807957382409008
133,0,0.47295828699964687
133,1,0.4834122239962919
133,2,0.04362948900406136
139,0,0.050056082791740134
139,1,0.6282420359449105
139,2,0.3217018812633494
140,0,0.4833573028936844
140,1,0.4830337750605918
140,2,0.03360892204572385
142,0,0.05012275922728302
142,1,0.6566606109809304
142,2,0.2932166297917866
143,0,0.4216321911108597
143,1,0.12413790172778408
143,2,0.4542299071613562
144,0,0.8131713746740807
144,1,0.048548811698762795
144,2,0.1382798136271565
145,0,0.032093613713090434
145,1,0.4570066719814207
145,2,0.5108997143054889
148,0,0.8832914289061793
148,1,0.06028879063596111
148,2,0.056419780457859565
149,0,0.21018576544916956
149,1,0.6407686162265707
149,2,0.14904561832425967
154,0,0.05033601927513159
154,1,0.053686605664043104
154,2,0.8959773750608253
156,0,0.30296533093831185
156,1,0.054823873867360234
156,2,0.6422107951943279
158,0,0.4738290252377959
158,1,0.04113055275419948
158,2,0.48504042200800457
163,0,0.6604401173333724
163,1,0.18703707802452155
163,2,0.15252280464210616
166,0,0.02735835841994407
166,1,0.5462539961094272
166,2,0.42638764547062874
170,0,0.19276200871816804
170,1,0.4657157899890246
170,2,0.34152220129280747
173,0,0.4125919266809817
173,1,0.3532104081505976
173,2,0.23419766516842078
179,0,0.4373824094572081
179,1,0.10778749854041923
179,2,0.4548300920023728
183,0,0.04614064855983413
183,1,0.0630928540333476
183,2,0.8907664974068182
186,0,0.8023657715692818
186,1,0.13825549823474495
186,2,0.059378730195973145
190,0,0.3333860102941168
190,1,0.24259117450585418
190,2,0.4240228152000291
192,0,0.6738214551551988
192,1,0.2883714126670133
192,2,0.0378071321777879
196,0,0.045095427571089336
196,1,0.2806262236009769
196,2,0.6742783488279337
207,0,0.6962047625530032
207,1,0.24774009732567193
207,2,0.056055140121324766
210,0,0.8416458792714054
210,1,0.08053803772498291
210,2,0.07781608300361166
214,0,0.3938456861529716
214,1,0.2566081916808957
214,2,0.3495461221661327
215,0,0.8787413631110401
215,1,0.06704665989062082
215,2,0.05421197699833896
223,0,0.5816014093352017
223,1,0.10558921585228782
223,2,0.3128093748125107
254,0,0.5199203335716119
254,1,0.04650982788001875
254,2,0.4335698385483693
283,0,0.5420351481456451
283,1,0.05228034744654691
283,2,0.40568450440780784
289,0,0.5101830177435752
289,1,0.4416742755928413
289,2,0.048142706663583536
297,0,0.2935784070383188
297,1,0.0623227417398984
297,2,0.6440988512217828
302,0,0.4871525119246385
302,1,0.2640019487340908
302,2,0.2488455393412707
306,0,0.5368822912888451
306,1,0.05662038499543255
306,2,0.4064973237157223
307,0,0.42926533074661327
307,1,0.03546426509341869
307,2,0.535270404159968
316,0,0.36841822389588896
316,1,0.029435459362364167
316,2,0.6021463167417469
319,0,0.575001292811066
319,1,0.39007524790858944
319,2,0.034923459280344675
326,0,0.27716315084341586
326,1,0.2675970703853079
326,2,0.4552397787712763
332,0,0.35666458420699365
332,1,0.2534769442444627
332,2,0.38985847154854364
380,0,0.4659233057935054
380,1,0.03715951607343516
380,2,0.49691717813305936
