trial,judgment,num_cols
106,"[0.14402022359592287, 0.32031443035615426, 0.5356653460479229]",780
107,"[0.34710476977010285, 0.3285524863465547, 0.3243427438833425]",702
109,"[0.11299399376938785, 0.35436345128611685, 0.5326425549444953]",718
111,"[0.7251932586897735, 0.2249660650874359, 0.04984067622279076]",492
112,"[0.04278848639050141, 0.2702452029483668, 0.6869663106611318]",899
113,"[0.5109362785202143, 0.4072659733471086, 0.08179774813267703]",736
114,"[0.5924630882859776, 0.3045986347318707, 0.10293827698215177]",351
115,"[0.11914851163256458, 0.25951869683344614, 0.6213327915339893]",672
118,"[0.0549854386961901, 0.14987861741540975, 0.7951359438884003]",764
121,"[0.878850323993993, 0.07008292651509113, 0.05106674949091595]",635
122,"[0.04501356301734411, 0.2747710650408019, 0.680215371941854]",669
123,"[0.35897697926206695, 0.31307741176189463, 0.32794560897603847]",678
126,"[0.059598764658978017, 0.22552600274321324, 0.7148752325978087]",783
127,"[0.15278681335390815, 0.3175515383982219, 0.52966164824787]",738
129,"[0.32606492745850435, 0.36086339609534984, 0.3130716764461458]",590
132,"[0.7194677620318383, 0.24129536009655295, 0.039236877871608795]",726
133,"[0.8225505570507556, 0.13222365663191357, 0.045225786317330784]",638
139,"[0.4647745391752518, 0.3992376377040385, 0.13598782312070967]",482
140,"[0.2521497944039256, 0.38281040748033973, 0.36503979811573467]",438
142,"[0.06540204909925734, 0.49276704365152024, 0.4418309072492224]",640
143,"[0.35146652816269636, 0.35320064777064236, 0.2953328240666614]",733
144,"[0.6987616964216311, 0.17851230859774522, 0.1227259949806237]",684
145,"[0.051164035243556026, 0.4198951609963694, 0.5289408037600745]",874
148,"[0.7610611514417847, 0.17919059902411497, 0.059748249534100475]",803
149,"[0.1803878364334114, 0.3801209819960085, 0.43949118157058015]",729
154,"[0.06322443383346862, 0.17866702449067734, 0.758108541675854]",400
156,"[0.33261819757004907, 0.3636426970871048, 0.30373910534284604]",554
158,"[0.05192748662923048, 0.1638708132639256, 0.784201700106844]",644
163,"[0.8441191069316151, 0.10958582643033932, 0.046295066638045584]",854
166,"[0.052201128239851825, 0.33579711930348805, 0.6120017524566601]",780
170,"[0.11552763745706902, 0.08027023846272131, 0.8042021240802097]",705
173,"[0.10752333128535901, 0.18898270347029061, 0.7034939652443504]",762
179,"[0.7346023677248782, 0.1603034724107148, 0.10509415986440698]",801
183,"[0.2059433540229846, 0.17440933518168472, 0.6196473107953306]",490
186,"[0.8755092579969525, 0.0728268968514036, 0.05166384515164397]",672
190,"[0.09669761701549538, 0.23693861384619008, 0.6663637691383145]",788
192,"[0.7798230240178036, 0.15995925356846186, 0.0602177224137345]",756
196,"[0.06770891527457944, 0.07859869624624044, 0.8536923884791802]",737
207,"[0.8261021942696738, 0.11243824682170936, 0.061459558908616804]",679
210,"[0.7657713536083439, 0.17702630286054488, 0.05720234353111127]",797
214,"[0.6703464580366975, 0.28005598473013954, 0.04959755723316303]",767
215,"[0.8648172112767625, 0.08451207466536687, 0.0506707140578705]",903
223,"[0.6307569878839402, 0.23252508674310363, 0.13671792537295613]",751
254,"[0.756289497447147, 0.2044199779968226, 0.039290524556030375]",703
283,"[0.7948943166392417, 0.09419491609243803, 0.11091076726832039]",780
289,"[0.8918783240251712, 0.05653965572405822, 0.0515820202507707]",615
297,"[0.8646167072034302, 0.09071089378856662, 0.04467239900800311]",694
302,"[0.7369413120505443, 0.15422223680254102, 0.10883645114691473]",797
306,"[0.10481874145776723, 0.09073366110517399, 0.8044475974370588]",749
307,"[0.7986118210186376, 0.16079751296151007, 0.04059066601985236]",679
316,"[0.06298436565789962, 0.2616763632024644, 0.6753392711396361]",773
319,"[0.8069295968174667, 0.11562425856103897, 0.07744614462149432]",744
326,"[0.7971282425278976, 0.1565823019898598, 0.04628945548224257]",693
332,"[0.6708136234546151, 0.2808434728269324, 0.04834290371845256]",770
380,"[0.07551208117318048, 0.18653526928126854, 0.7379526495455508]",665
