trial,hole,data_y,lower,upper
48,1,0.06896551724137931,0.0,0.1724137931034483
48,2,0.7241379310344828,0.5517241379310345,0.8629310344827578
49,0,0.0,0.0,0.0
49,1,0.4,0.23333333333333334,0.5666666666666667
49,2,0.6,0.43333333333333335,0.7666666666666667
50,0,0.06666666666666667,0.0,0.16666666666666666
50,1,0.8333333333333334,0.7,0.9666666666666667
50,2,0.1,0.0,0.23333333333333334
51,0,0.6206896551724138,0.41379310344827586,0.7931034482758621
51,1,0.06896551724137931,0.0,0.1724137931034483
51,2,0.3103448275862069,0.1724137931034483,0.4827586206896552
52,0,0.10344827586206896,0.0,0.2413793103448276
52,1,0.06896551724137931,0.0,0.1724137931034483
52,2,0.8275862068965517,0.6551724137931034,0.9655172413793104
53,0,0.1,0.0,0.2
53,1,0.9,0.8,1.0
53,2,0.0,0.0,0.0
54,0,0.0,0.0,0.0
54,1,0.6785714285714286,0.5,0.8571428571428571
54,2,0.32142857142857145,0.14285714285714285,0.5
55,0,0.0,0.0,0.0
55,1,0.25,0.10714285714285714,0.39285714285714285
55,2,0.75,0.6071428571428571,0.8928571428571429
56,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
56,1,0.7,0.5333333333333333,0.8666666666666667
56,2,0.16666666666666666,0.06666666666666667,0.3
57,0,0.0,0.0,0.0
57,1,0.0,0.0,0.0
57,2,1.0,1.0,1.0
58,0,0.6333333333333333,0.4666666666666667,0.8
58,1,0.06666666666666667,0.0,0.16666666666666666
58,2,0.3,0.13333333333333333,0.4666666666666667
59,0,0.4666666666666667,0.3,0.6333333333333333
59,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
59,2,0.4,0.23333333333333334,0.5666666666666667
60,0,0.03571428571428571,0.0,0.10714285714285714
60,1,0.2857142857142857,0.10714285714285714,0.4642857142857143
60,2,0.6785714285714286,0.5,0.8571428571428571
61,0,0.13793103448275862,0.034482758620689655,0.27586206896551724
61,1,0.0,0.0,0.0
61,2,0.8620689655172413,0.7241379310344828,0.9655172413793104
