trial,hole,data_y,lower,upper
46,1,0.5666666666666667,0.36666666666666664,0.7333333333333333
46,2,0.03333333333333333,0.0,0.1
47,0,0.034482758620689655,0.0,0.10344827586206896
47,1,0.7586206896551724,0.5862068965517241,0.896551724137931
47,2,0.20689655172413793,0.06896551724137931,0.3448275862068966
48,0,0.26666666666666666,0.13333333333333333,0.43333333333333335
48,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
48,2,0.6,0.4,0.7666666666666667
49,0,0.06666666666666667,0.0,0.16666666666666666
49,1,0.4,0.23333333333333334,0.5666666666666667
49,2,0.5333333333333333,0.36666666666666664,0.7
50,0,0.1,0.0,0.23333333333333334
50,1,0.7333333333333333,0.5666666666666667,0.8666666666666667
50,2,0.16666666666666666,0.03333333333333333,0.3
51,0,0.36666666666666664,0.2,0.5333333333333333
51,1,0.03333333333333333,0.0,0.1
51,2,0.6,0.43333333333333335,0.7666666666666667
52,0,0.0,0.0,0.0
52,1,0.0,0.0,0.0
52,2,1.0,1.0,1.0
53,0,0.03333333333333333,0.0,0.1
53,1,0.9333333333333333,0.8333333333333334,1.0
53,2,0.03333333333333333,0.0,0.1
54,0,0.03333333333333333,0.0,0.10083333333333258
54,1,0.9333333333333333,0.8333333333333334,1.0
54,2,0.03333333333333333,0.0,0.1
55,0,0.0,0.0,0.0
55,1,0.8333333333333334,0.6666666666666666,0.9666666666666667
55,2,0.16666666666666666,0.03333333333333333,0.3333333333333333
56,0,0.3448275862068966,0.1724137931034483,0.5172413793103449
56,1,0.6206896551724138,0.4482758620689655,0.7931034482758621
56,2,0.034482758620689655,0.0,0.10344827586206896
57,0,0.0,0.0,0.0
57,1,0.0,0.0,0.0
57,2,1.0,1.0,1.0
58,0,0.16666666666666666,0.03333333333333333,0.3
58,1,0.03333333333333333,0.0,0.1
58,2,0.8,0.6666666666666666,0.9333333333333333
59,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
59,1,0.03333333333333333,0.0,0.1
59,2,0.8333333333333334,0.7,0.9666666666666667
60,0,0.5862068965517241,0.41379310344827586,0.7586206896551724
60,1,0.3448275862068966,0.1724137931034483,0.5172413793103449
60,2,0.06896551724137931,0.0,0.1724137931034483
61,0,0.6333333333333333,0.43333333333333335,0.8
61,1,0.03333333333333333,0.0,0.1
61,2,0.3333333333333333,0.16666666666666666,0.5
62,0,0.1,0.0,0.2
62,1,0.03333333333333333,0.0,0.1
62,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
63,0,0.2413793103448276,0.10258620689655178,0.41379310344827586
63,1,0.1724137931034483,0.034482758620689655,0.3103448275862069
63,2,0.5862068965517241,0.41379310344827586,0.7586206896551724
64,0,0.4666666666666667,0.3,0.6333333333333333
64,1,0.4666666666666667,0.26666666666666666,0.6333333333333333
64,2,0.06666666666666667,0.0,0.16666666666666666
65,0,0.7,0.5333333333333333,0.8666666666666667
65,1,0.0,0.0,0.0
65,2,0.3,0.13333333333333333,0.4666666666666667
66,0,0.10344827586206896,0.0,0.20689655172413793
66,1,0.27586206896551724,0.13793103448275862,0.4482758620689655
66,2,0.6206896551724138,0.4482758620689655,0.7931034482758621
67,0,1.0,1.0,1.0
67,1,0.0,0.0,0.0
67,2,0.0,0.0,0.0
68,0,0.06666666666666667,0.0,0.16666666666666666
68,1,0.9333333333333333,0.8333333333333334,1.0
68,2,0.0,0.0,0.0
69,0,0.0,0.0,0.0
69,1,1.0,1.0,1.0
69,2,0.0,0.0,0.0
70,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
70,1,0.03333333333333333,0.0,0.1
70,2,0.8333333333333334,0.7,0.9666666666666667
71,0,0.23333333333333334,0.1,0.4
71,1,0.6666666666666666,0.5,0.8333333333333334
71,2,0.1,0.0,0.23333333333333334
72,0,0.8666666666666667,0.7333333333333333,0.9666666666666667
72,1,0.0,0.0,0.0
72,2,0.13333333333333333,0.03333333333333333,0.26666666666666666
73,0,0.0,0.0,0.0
73,1,0.0,0.0,0.0
73,2,1.0,1.0,1.0
74,0,0.06666666666666667,0.0,0.16666666666666666
74,1,0.8333333333333334,0.6666666666666666,0.9666666666666667
74,2,0.1,0.0,0.2008333333333326
75,0,0.7,0.5333333333333333,0.8666666666666667
75,1,0.1,0.0,0.2
75,2,0.2,0.06666666666666667,0.3333333333333333
76,0,0.7333333333333333,0.5666666666666667,0.9
76,1,0.0,0.0,0.0
76,2,0.26666666666666666,0.1,0.43333333333333335
77,0,0.26666666666666666,0.1,0.43333333333333335
77,1,0.7333333333333333,0.5666666666666667,0.9
77,2,0.0,0.0,0.0
78,0,0.034482758620689655,0.0,0.10344827586206896
78,1,0.6551724137931034,0.4827586206896552,0.8275862068965517
78,2,0.3103448275862069,0.13793103448275862,0.4827586206896552
79,0,0.03333333333333333,0.0,0.1
79,1,0.0,0.0,0.0
79,2,0.9666666666666667,0.9,1.0
80,0,0.6333333333333333,0.4666666666666667,0.8
80,1,0.0,0.0,0.0
80,2,0.36666666666666664,0.2,0.5333333333333333
81,0,0.0,0.0,0.0
81,1,0.0,0.0,0.0
81,2,1.0,1.0,1.0
82,0,0.0,0.0,0.0
82,1,0.36666666666666664,0.2,0.5333333333333333
82,2,0.6333333333333333,0.4666666666666667,0.8
84,0,0.9,0.7666666666666667,1.0
84,1,0.1,0.0,0.23333333333333334
84,2,0.0,0.0,0.0
85,0,0.4,0.23333333333333334,0.5666666666666667
85,1,0.6,0.43333333333333335,0.7666666666666667
85,2,0.0,0.0,0.0
86,0,0.0,0.0,0.0
86,1,0.26666666666666666,0.1,0.43333333333333335
86,2,0.7333333333333333,0.5666666666666667,0.9
90,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
90,1,0.06666666666666667,0.0,0.16666666666666666
90,2,0.8,0.6666666666666666,0.9333333333333333
91,0,0.13333333333333333,0.03333333333333333,0.26666666666666666
91,1,0.8666666666666667,0.7333333333333333,0.9666666666666667
91,2,0.0,0.0,0.0
93,0,0.0,0.0,0.0
93,1,1.0,1.0,1.0
93,2,0.0,0.0,0.0
94,0,0.03333333333333333,0.0,0.1
94,1,0.8666666666666667,0.7333333333333333,0.9666666666666667
94,2,0.1,0.0,0.23333333333333334
97,0,0.43333333333333335,0.26666666666666666,0.6
97,1,0.06666666666666667,0.0,0.16666666666666666
97,2,0.5,0.3333333333333333,0.6666666666666666
98,0,0.5172413793103449,0.3448275862068966,0.6896551724137931
98,1,0.034482758620689655,0.0,0.10344827586206896
98,2,0.4482758620689655,0.27586206896551724,0.6206896551724138
99,0,0.4666666666666667,0.3,0.6333333333333333
99,1,0.0,0.0,0.0
99,2,0.5333333333333333,0.36666666666666664,0.7
100,0,0.7,0.5333333333333333,0.8666666666666667
100,1,0.0,0.0,0.0
100,2,0.3,0.13333333333333333,0.4666666666666667
102,0,0.1,0.0,0.2
102,1,0.9,0.8,1.0
102,2,0.0,0.0,0.0
103,0,0.9,0.7666666666666667,1.0
103,1,0.06666666666666667,0.0,0.16666666666666666
103,2,0.03333333333333333,0.0,0.1
106,0,0.0,0.0,0.0
106,1,0.8,0.6333333333333333,0.9333333333333333
106,2,0.2,0.06666666666666667,0.36666666666666664
107,0,0.9333333333333333,0.8333333333333334,1.0
107,1,0.06666666666666667,0.0,0.16666666666666666
107,2,0.0,0.0,0.0
109,0,0.0,0.0,0.0
109,1,0.5666666666666667,0.36666666666666664,0.7666666666666667
109,2,0.43333333333333335,0.23333333333333334,0.6333333333333333
111,0,0.9666666666666667,0.9,1.0
111,1,0.0,0.0,0.0
111,2,0.03333333333333333,0.0,0.1
112,0,0.0,0.0,0.0
112,1,0.5333333333333333,0.36666666666666664,0.7
112,2,0.4666666666666667,0.3,0.6333333333333333
113,0,0.2,0.06666666666666667,0.3333333333333333
113,1,0.3,0.13333333333333333,0.4666666666666667
113,2,0.5,0.3333333333333333,0.6666666666666666
114,0,0.4666666666666667,0.26666666666666666,0.6333333333333333
114,1,0.5333333333333333,0.36666666666666664,0.7333333333333333
114,2,0.0,0.0,0.0
115,0,0.0,0.0,0.0
115,1,0.1,0.0,0.23333333333333334
115,2,0.9,0.7666666666666667,1.0
118,0,0.10344827586206896,0.0,0.2413793103448276
118,1,0.5172413793103449,0.3448275862068966,0.6896551724137931
118,2,0.3793103448275862,0.20689655172413793,0.5525862068965509
121,0,0.6666666666666666,0.5,0.8333333333333334
121,1,0.3,0.13333333333333333,0.4666666666666667
121,2,0.03333333333333333,0.0,0.1
122,0,0.5666666666666667,0.4,0.7333333333333333
122,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
122,2,0.3,0.13333333333333333,0.4666666666666667
123,0,0.6666666666666666,0.5,0.8333333333333334
123,1,0.1,0.0,0.2
123,2,0.23333333333333334,0.1,0.4
126,0,0.06896551724137931,0.0,0.1724137931034483
126,1,0.0,0.0,0.0
126,2,0.9310344827586207,0.8275862068965517,1.0
127,0,0.8,0.6658333333333334,0.9333333333333333
127,1,0.06666666666666667,0.0,0.16666666666666666
127,2,0.13333333333333333,0.03333333333333333,0.26666666666666666
129,0,0.9666666666666667,0.9,1.0
129,1,0.03333333333333333,0.0,0.1
129,2,0.0,0.0,0.0
132,0,0.3333333333333333,0.16666666666666666,0.5
132,1,0.6666666666666666,0.5,0.8333333333333334
132,2,0.0,0.0,0.0
133,0,0.5172413793103449,0.3448275862068966,0.6896551724137931
133,1,0.4827586206896552,0.3103448275862069,0.6551724137931034
133,2,0.0,0.0,0.0
139,0,0.03333333333333333,0.0,0.1
139,1,0.9,0.7666666666666667,1.0
139,2,0.06666666666666667,0.0,0.16666666666666666
140,0,0.7,0.5333333333333333,0.834166666666666
140,1,0.3,0.16583333333333336,0.4666666666666667
140,2,0.0,0.0,0.0
142,0,0.03333333333333333,0.0,0.1
142,1,0.7666666666666667,0.6,0.9
142,2,0.2,0.06666666666666667,0.36666666666666664
143,0,0.5666666666666667,0.3991666666666667,0.7333333333333333
143,1,0.1,0.0,0.23333333333333334
143,2,0.3333333333333333,0.16666666666666666,0.5
144,0,0.8666666666666667,0.7333333333333333,0.9666666666666667
144,1,0.03333333333333333,0.0,0.1
144,2,0.1,0.0,0.2
145,0,0.0,0.0,0.0
145,1,0.8,0.6333333333333333,0.9333333333333333
145,2,0.2,0.06666666666666667,0.36666666666666664
148,0,0.9666666666666667,0.9,1.0
148,1,0.03333333333333333,0.0,0.1
148,2,0.0,0.0,0.0
149,0,0.06666666666666667,0.0,0.16666666666666666
149,1,0.8666666666666667,0.7333333333333333,0.9666666666666667
149,2,0.06666666666666667,0.0,0.16666666666666666
154,0,0.06666666666666667,0.0,0.16666666666666666
154,1,0.0,0.0,0.0
154,2,0.9333333333333333,0.8333333333333334,1.0
156,0,0.03333333333333333,0.0,0.1
